a 啊,阿,呵,嗄,腌
ai 爱,哎,唉,碍,矮,癌,艾,哀,挨,埃,隘,蔼,皑
an 安,暗,按,岸,案,俺,鞍,氨,庵,谙,黯,铵
ang 昂,盎,肮
ao 奥,傲,熬,袄,凹,懊,翱,鳌,嗷,遨,拗,骜
ba 八,把,吧,爸,巴,拔,霸,罢,靶,坝,扒,芭,疤,笆
bai 百,白,败,拜,摆,柏,伯,掰,佰,稗
ban 半,办,班,版,般,板,拌,伴,搬,扮,瓣,扳,斑,颁,绊
bang 帮,棒,旁,傍,榜,绑,膀,磅,蚌,镑,谤
bao 报,保,包,抱,暴,宝,爆,薄,饱,堡,鲍,胞,刨,褒,雹,苞
bei 被,北,备,背,杯,倍,悲,辈,碑,卑,贝,蓓,惫,焙,狈
ben 本,笨,奔,苯,畚
beng 蹦,崩,绷,泵,甭,迸
bi 比,笔,必,闭,逼,壁,避,鼻,彼,碧,臂,毕,币,弊,秘,璧
bian 变,边,便,遍,编,辨,辩,鞭,扁,贬,卞,辫,苄,汴,砭
biao 表,标,彪,镖,膘,婊,飙,裱,飚,骠
bie 别,憋,鳖,瘪
bin 宾,滨,彬,斌,濒,殡,膑,傧,鬓,缤
bing 并,病,兵,冰,丙,柄,饼,炳,秉,禀
bo 不,波,博,播,伯,拨,薄,泊,勃,搏,脖,剥,驳,帛,钵,菠,铂
bu 不,步,部,布,补,卜,捕,哺,簿,怖,埠
ca 擦,嚓
cai 才,菜,采,彩,材,财,猜,裁,蔡,踩,睬
can 参,残,惨,灿,惭,蚕,掺,餐,骖,孱,粲
cang 藏,仓,苍,沧,舱,伧
cao 草,操,曹,槽,糙,嘈,漕
ce 侧,册,测,策,厕,恻
cen 岑,参,涔
ceng 曾,层,蹭,噌
cha 查,差,插,茶,察,叉,岔,刹,搽,碴,杈,诧,楂
chai 拆,柴,差,钗,豺,侪
chan 产,缠,颤,搀,掺,蝉,馋,禅,铲,谗,婵,忏,潺,澶
chang 长,常,场,唱,厂,尝,畅,昌,偿,敞,肠,倡,猖,娼,苌,怅,氅
chao 超,朝,潮,吵,抄,巢,钞,嘲,剿,绰,炒
che 车,彻,撤,扯,掣,澈,坼
chen 陈,沉,晨,称,衬,趁,臣,尘,辰,忱,郴,谌
cheng 成,城,程,称,承,乘,盛,诚,呈,撑,澄,橙,逞,惩,骋
chi 吃,持,迟,尺,赤,池,翅,齿,斥,耻,侈,痴,弛,驰,炽,匙
chong 重,冲,充,虫,崇,宠,忡,憧,舂,铳
chou 抽,愁,仇,丑,臭,酬,畴,稠,筹,瞅,绸,踌
chu 出,处,初,除,楚,础,触,储,畜,厨,锄,矗,橱,雏,滁,躇
chua 欻
chuai 揣,搋,踹
chuan 传,船,穿,川,串,喘,椽,舛,遄
chuang 创,窗,床,闯,幢,疮
chui 吹,垂,锤,捶,炊,陲,棰
chun 春,纯,唇,醇,蠢,淳,椿,鹑
chuo 辍,戳,绰,啜,龊
ci 次,此,词,辞,磁,慈,刺,瓷,雌,茨,祠,赐
cong 从,丛,聪,匆,葱,囱,琮,淙,枞
cou 凑,辏,腠
cu 粗,促,醋,簇,猝,蹙,蹴
cuan 窜,蹿,篡,攒,汆,爨
cui 催,脆,翠,崔,摧,淬,粹,瘁,萃,啐
cun 村,存,寸,忖,皴
cuo 错,措,挫,搓,磋,撮,蹉,痤
da 大,打,达,搭,答,瘩,嗒,哒,沓
dai 大,代,带,待,戴,袋,呆,歹,逮,贷,怠,殆,黛,岱,傣
dan 但,单,担,蛋,弹,淡,丹,胆,旦,诞,惮,耽,郸,殚,瘅
dang 当,党,挡,档,荡,铛,宕,砀
dao 到,道,倒,刀,导,岛,盗,蹈,悼,稻,捣,祷
de 的,得,德,地
dei 得
den 扽
deng 等,灯,登,邓,瞪,蹬,凳,澄,嶝,磴
di 的,地,第,低,底,敌,弟,递,帝,抵,滴,迪,堤,涤,笛,嫡,翟
dia 嗲
dian 点,电,店,典,垫,殿,淀,碘,滇,巅,佃,甸,掂,癫,钿
diao 调,掉,吊,钓,雕,叼,刁,貂,碉,鲷
die 跌,叠,蝶,碟,爹,谍,迭,牒,喋
ding 定,顶,丁,订,钉,鼎,盯,叮,锭,町,疔
diu 丢,铥
dong 动,东,冬,懂,洞,冻,栋,董,侗,恫,峒,胴,硐
dou 都,斗,豆,逗,抖,兜,陡,窦,痘,蔸
du 度,读,都,独,毒,堵,赌,杜,肚,督,渡,妒,镀,嘟,笃
duan 段,短,断,端,锻,缎,椴
dui 对,队,堆,兑,碓
dun 顿,吨,蹲,盾,敦,墩,钝,遁,沌,炖
duo 多,朵,夺,躲,堕,舵,跺,惰,垛,剁,哆,踱
e 恶,额,饿,鹅,俄,厄,扼,遏,噩,愕,蛾,鄂,萼,腭,讹
ei 诶
en 恩,嗯
eng 鞥
er 二,而,耳,尔,儿,饵,贰,洱,迩,珥
fa 发,法,罚,伐,乏,阀,筏,珐
fan 反,犯,翻,番,饭,烦,范,泛,帆,繁,凡,贩,藩,矾,樊,燔
fang 方,放,房,防,访,仿,芳,纺,坊,妨,肪,舫
fei 非,飞,费,废,肥,肺,匪,沸,菲,翡,诽,吠,妃,痱,蜚
fen 分,份,粉,奋,坟,纷,愤,氛,芬,焚,酚,汾,忿
feng 风,封,丰,逢,蜂,峰,锋,冯,凤,奉,缝,枫,疯,俸,烽
fo 佛
fou 否,缶
fu 不,父,夫,服,付,复,负,附,副,富,福,府,辅,妇,幅,伏,浮,符,扶,腐,抚,覆,佛,俘,赋,腹,傅,缚,芙,敷,拂,釜,馥
ga 嘎,噶,轧,尬,伽
gai 该,改,盖,概,钙,溉,丐,芥
gan 干,感,敢,赶,甘,肝,竿,柑,杆,尴,赣,橄,秆,矸,澉
gang 刚,钢,港,岗,纲,杠,缸,冈,扛,肛
gao 高,告,搞,稿,糕,膏,篙,皋,羔,睾
ge 个,各,歌,哥,格,革,割,阁,隔,戈,葛,搁,鸽,胳,疙,铬,骼
gei 给
gen 根,跟,亘,艮
geng 更,耕,庚,梗,羹,埂,耿,哽,赓
gong 工,公,共,功,宫,供,攻,弓,恭,巩,贡,拱,躬,龚,觥
gou 够,狗,沟,构,购,钩,勾,苟,垢,篝,佝,媾,诟
gu 古,故,顾,鼓,骨,谷,股,固,估,孤,辜,菇,雇,咕,箍,沽,蛊
gua 挂,瓜,刮,寡,褂,卦,呱,剐
guai 怪,拐,乖,掴
guan 关,管,官,观,馆,惯,冠,灌,贯,罐,棺,涫
guang 光,广,逛,胱,桄
gui 贵,归,鬼,规,桂,柜,轨,闺,瑰,硅,龟,跪,皈,癸,诡
gun 滚,棍,辊,衮
guo 国,过,果,锅,郭,裹,涡,帼,聒,椁
ha 哈,蛤,铪
hai 还,海,害,孩,嗨,骇,亥,氦,骸,酣
han 汉,含,喊,寒,韩,汗,函,翰,罕,旱,焊,憨,悍,撼,酣,憾,涵
hang 行,航,杭,巷,夯,沆,绗
hao 好,号,浩,豪,毫,耗,郝,壕,嚎,蒿,濠,蚝
he 和,合,何,河,喝,贺,核,荷,赫,鹤,盒,禾,壑,褐,阂,吓
hei 黑,嘿
hen 很,恨,狠,痕,亨
heng 横,哼,恒,衡,亨,蘅
hong 红,宏,洪,虹,鸿,弘,轰,烘,哄,泓,闳
hou 后,候,厚,侯,吼,喉,猴,糊,逅,篌
hu 和,湖,户,呼,虎,护,互,糊,壶,胡,忽,乎,狐,沪,弧,葫,蝴
hua 化,话,花,华,画,划,滑,哗,猾,桦,铧
huai 坏,怀,淮,槐,踝
huan 还,换,欢,环,缓,幻,患,唤,焕,桓,涣,宦,奂,豢,浣
huang 黄,皇,荒,慌,晃,恍,煌,凰,谎,簧,蝗,惶,璜,幌,湟
hui 会,回,灰,挥,辉,汇,慧,惠,毁,恢,绘,晦,贿,秽,悔,徽,卉
hun 混,婚,魂,浑,昏,荤,馄,诨
huo 和,活,火,或,货,获,伙,惑,祸,豁,霍,藿,蠖
ji 几,机,及,记,级,即,集,计,已,基,极,际,济,技,给,既,己,击,继,积,激,寄,季,纪,吉,急,奇,迹,鸡,绩
jia 家,加,假,价,甲,架,驾,嫁,佳,夹,贾,嘉,颊,枷,稼,笳
